,X1,Y1,X2,Y2
0,303,28,434,0
1,405,17,430,0
2,303,28,434,0
3,42,98,165,63
4,42,98,165,63
5,329,91,369,74
6,46,125,186,111
7,42,135,188,100
8,305,162,433,148
9,305,162,433,148
10,82,201,160,184
11,42,208,162,173
12,42,247,120,217
13,46,272,356,258
14,46,272,356,258
15,68,319,156,284
16,46,309,347,295
17,42,356,156,321
18,42,392,100,358
19,94,406,103,354
20,329,382,340,368
21,42,431,85,401
22,42,431,85,401
23,99,419,360,405
24,46,456,368,442
25,46,456,368,442
